Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000342841578761649,0.0533737179043439,-0.00322755034160716,0,0,0,0.578447340656943,0.00245194046846196,-1.92136996193314E-06,-1.37944712014845E-06,0.00268497193612229,0.000478440184651817,0.0026510301534111,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/base_link.STL,,臀部装配-1/骨盆架-1/股骨固定片-1;臀部装配-1/骨盆架-1/股骨固定片-2;臀部装配-1/骨盆架-1/股骨固定片-3;臀部装配-1/骨盆架-1/股骨固定片-4;臀部装配-1/骨盆架-1/骨盆_无夹角-1;臀部装配-1/arx臀部装配-11-27-1/arx臀部b-11-25-1;臀部装配-1/arx臀部装配-11-27-1/arx-肚子12-1-1;臀部装配-1/arx臀部装配-11-27-1/arx臀部-a-11-25-1;臀部装配-1/骨盆架-1/股骨固定片-5;臀部装配-1/骨盆架-1/股骨固定片-6;臀部装配-1/骨盆架-1/股骨固定片-8;臀部装配-1/骨盆架-1/股骨固定片-7;臀部装配-1/基座装26_1_29-1/基座26_1_29-1;基座26_1_29-1;上肢-1/上肢_脊椎-1/脊椎节-2/踝关节合页体12-8-1/脊椎节座1_13-1;臀部装配-1/骨盆架-1/骶骨-1;臀部装配-1/骨盆架-1/骶骨-2;臀部装配-1/骨盆架-1/髂骨_脊椎垫-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_hip_pitch_engine_link,-0.00639528170474211,-5.28330276241918E-05,-1.32444315893138E-07,0,0,0,0.00680931690813817,3.39928584447202E-06,-2.74780005767967E-12,1.29764844440883E-11,3.82287795367196E-06,-3.93183797563819E-11,9.53831394208114E-07,0,0,0,0,0,0,package://robot_description/meshes/right_hip_pitch_engine_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_pitch_engine_link.STL,,臀部装配-1/基座装26_1_29-1/装配体3^基座装26_1_29-1/摇臂_外圈26_1_29-1,right_hip_pitch_engine_joint,datum_axis3,right_hip_pitch_engine_joint,revolute,-0.084333154461223,2.45945382447853E-05,0,0,0,0,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_hip_yaw_engine_link,-0.00997581688662634,-4.91949854028881E-05,-3.35518278792401E-06,0,0,0,0.00745115887807254,4.37003711979543E-06,1.54442408912393E-20,1.55388242853849E-20,1.36593231884734E-06,-1.97036141605652E-10,5.12920734013458E-06,0,0,0,0,0,0,package://robot_description/meshes/right_hip_yaw_engine_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_yaw_engine_link.STL,,臀部装配-1/基座装26_1_29-1/装配体2^基座装26_1_29-1/摇臂_内圈26_1_29-1,right_hip_yaw_engine_joint,datum_axis2,right_hip_yaw_engine_joint,revolute,-0.084333154461223,2.45945382447853E-05,0,0,0,0,base_link,0,1,0,100,1,-3.14,3.14,,,,,,,,
right_hip_roll_link,0.0250955672145867,-0.000100584304280602,-6.72379018460021E-07,0,0,0,0.00374844887826709,1.73509180930169E-07,2.26869315440614E-14,-1.348110168534E-13,5.29714495902645E-07,5.67701628384787E-10,4.86108472108004E-07,0,0,0,0,0,0,package://robot_description/meshes/right_hip_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_roll_link.STL,,臀部装配-1/基座装26_1_29-1/20_万向节26_1_29-3/装配体1^20_万向节26_1_29-1/同步轴棒5_6026_1_29-1;臀部装配-1/基座装26_1_29-1/20_万向节26_1_29-3/装配体1^20_万向节26_1_29-1/20_万向轴26_1_29-1,right_hip_roll_joint,datum_axis1,right_hip_roll_joint,revolute,-0.084333154461223,2.45945382447853E-05,0,0,0,0,base_link,-1,0,0,100,1,-3.14,3.14,,,,,,,,
right_hip_cube_link,0.00499999363631391,-4.91949854027494E-05,-2.68144890015451E-15,0,0,0,0.000245876972106249,4.25015788197773E-09,6.85161708351657E-24,-4.41516842085342E-23,2.40441823778431E-09,-2.06386564924476E-15,2.40441187048372E-09,0,0,0,0,0,0,package://robot_description/meshes/right_hip_cube_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_hip_cube_link.STL,,臀部装配-1/基座装26_1_29-1/20_万向节26_1_29-3/10_万向轴十字26_1_29-1,right_hip_cube_joint,datum_axis3,right_hip_cube_joint,revolute,0,0,0,0,0,0,right_hip_roll_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_thigh_link,-0.0338250068183917,-0.233568091984252,-0.00694723150581045,0,0,0,0.651256730970666,0.00206893634437099,0.000272110721077152,-6.12788038461608E-05,0.00177958880876041,0.000133779452072601,0.00201266566655095,0,0,0,0,0,0,package://robot_description/meshes/right_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_thigh_link.STL,,臀部装配-1/基座装26_1_29-1/20_万向节26_1_29-3/装配体1^20_万向节26_1_29-2/20_万向轴26_1_29-1;臀部装配-1/基座装26_1_29-1/20_万向节26_1_29-3/装配体1^20_万向节26_1_29-2/同步轴棒5_6026_1_29-1;arx大腿骨装配-2/固定轴1支架8_4.5_16-1;arx大腿骨装配-2/120_170配合-1/10-20铝型材120-1;arx大腿骨装配-2/120_170配合-1/10-20铝型材182.8-1;arx大腿骨装配-2/120_170配合-1/型材转角-1;arx大腿骨装配-2/装配体4^arx大腿骨装配-1/股骨夹具-1;arx大腿骨装配-2/装配体4^arx大腿骨装配-1/股骨夹具-2;arx大腿骨装配-2/装配体4^arx大腿骨装配-1/股骨2_2026_1_31-1;arx大腿装配-11-27-2/arx大腿上11-14-1;arx大腿装配-11-27-2/arx大腿中11-14-1;arx大腿装配-11-27-2/arx-膝盖11-14-1;arx大腿装配-11-27-2/零件51^arx大腿装配-11-27-1;arx大腿装配-11-27-2/arx大腿上b-11-25-1,right_thigh_joint,datum_axis2,right_thigh_joint,revolute,0,0,0,0,0,0,right_hip_cube_link,0,1,0,100,1,-3.14,3.14,,,,,,,,
right_shin_link,8.93525504408327E-05,-0.207812925039368,0.00356242368804441,0,0,0,0.347813967537165,0.00126357262237321,-1.32038172506396E-06,-3.06631552454993E-07,0.000301407339733946,6.71088337977351E-05,0.00128278527429904,0,0,0,0,0,0,package://robot_description/meshes/right_shin_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_shin_link.STL,,arx小腿_骨架_装配26_2_2-1/装配体1^arx小腿_骨架_装配26_2_2-1/膝关节_2026_1_31-1;arx小腿_骨架_装配26_2_2-1/装配体1^arx小腿_骨架_装配26_2_2-1/膝关节夹具-2;arx小腿_骨架_装配26_2_2-1/装配体1^arx小腿_骨架_装配26_2_2-1/膝关节夹具-1;arx小腿_骨架_装配26_2_2-1/10-20铝型材357-1;arx-小腿装配-11-27-1/arx-小腿1-11-17-1;arx-小腿装配-11-27-1/arx-小腿2-11-17-1;arx-小腿装配-11-27-1/arx-小腿3-11-17-1;arx-小腿装配-11-27-1/arx-小腿3a-11-26-1;踝关节配体-1/踝关节驱动端-1/脚踝_腕_头12-11-2;踝关节配体-1/踝关节_垫高12-8-1;踝关节配体-1/踝关节驱动端-1/踝关节座12-8-1;踝关节配体-1/5-11-12-24_万向节-1/5-11-12-24_单节-2/5-11-12-24_万向轴-1,right_knee_joint,datum_axis4,right_knee_joint,revolute,-0.025666845538777,-0.429824594538245,-0.0115000000000049,0,0,0,right_thigh_link,1,0,0,100,1,-3.14,3.14,,,,,,,,
right_ankle_cube_link,-0.025670003801888,-0.88668648907311,0.00800489820165312,0,0,0,0.000189328304341638,1.15268360237197E-09,-8.75476909303627E-33,-2.1460399983049E-15,1.81031848738358E-09,-4.36007820098051E-26,1.15268986006577E-09,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_cube_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_cube_link.STL,,踝关节配体-1/5-11-12-24_万向节-1/5-11-12-24_万向轴十字-1,right_hip_cube_joint,datum_axis16,right_ankle_cube_joint,revolute,0.025666845538777,0.429824594538245,0.0115000000000049,0,0,0,right_shin_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
right_ankle_axle_link,-6.92213906759859E-05,-0.0250851665328068,7.51570114941435E-05,0,0,0,0.00188539443116976,3.40886776481147E-07,-5.50460625860004E-14,-1.93998889501305E-10,1.59411257248695E-08,-1.08549833532568E-15,3.43001179235715E-07,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_axle_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_ankle_axle_link.STL,,踝关节配体-1/5-11-12-24_万向节-1/5-11-12-24_单节-1/5-11-12-24_万向轴-1;踝关节配体-1/5-11-12-24_万向节-1/5-11-12-24_单节-1/同步轴棒5_60-1,right_ankle_axle_joint,datum_axis15,right_ankle_axle_joint,revolute,-0.0256700103430628,-0.886686499663044,0.00800489064197998,0,0,0,right_ankle_cube_link,1,0,0,100,1,-3.14,3.14,,,,,,,,
right_foot_link,-0.00433742702605386,-0.0410689912642686,0.0153050659615987,0,0,0,0.138474623900111,0.000249638228785326,-7.51556284441056E-08,6.92688285527476E-08,0.000245679101559375,-9.50093987655504E-06,0.000115983156725437,0,0,0,0,0,0,package://robot_description/meshes/right_foot_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_description/meshes/right_foot_link.STL,,踝关节配体-1/装配体2^踝关节配体-2/踝关节从动座-1;踝关节配体-1/踝关节_垫-1;arx小腿_骨架_装配26_2_2-1/足骨装配体-1/距骨12_16-1;arx小腿_骨架_装配26_2_2-1/足骨装配体-1/跟骨-1;arx小腿_骨架_装配26_2_2-1/足骨装配体-1/舟骨-1;鞋子2-2,right_foot_joint,foot,right_foot_joint,revolute,0,-0.0147499860831098,0,0,0,0,right_ankle_axle_link,0,-1,0,100,1,-3.14,3.14,,,,,,,,
